script_path,quality_label,risk_label,oracle_version,test_evidence
monitoring_scripts/general/dual_data_gen-low-mem.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dual_data_gen.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dump.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dumptrace_off.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dumptrace_on.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dumptracem_off.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dumptracem_on.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dup-user-profile.sql,community,MEDIO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dup_role.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dup_role_users.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dup_user.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/dynamic_plan_table.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/e2ts-hires.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/e2ts.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/enqueue-bitand.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/explain_plan_columns.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/find-index-sql.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/findcol.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/findobj.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/fk-circular-ref.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/fk_hierarchy.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/fktree-rcte.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/fktree.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/full_sql_text.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen-post.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen-pre.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_bind_vars.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_bind_vars_awr-loop.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_bind_vars_awr.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_data_with_recursion.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_fk_from-11.1.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_fk_from-11.2.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_fk_to-11.1.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_fk_to-11.2.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_list_data_with_dual.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gen_list_data_without_dual.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/generate-sql.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get-alert-log-location.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get-code-error-context.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get-curr-ospid.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get-missing-tablenames.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get-schema-name.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get-schema-size.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get-sql-for-table.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get-table-name.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get_awr_bind_values.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get_bind_values.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get_date_range.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get_prefs.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get_sched_tz.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/get_table_lock.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/getallparm-12c.sql,community,BASSO,"19c,21c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/getallparm.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/getaud.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gethostname.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/getinstance.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/getinstanceowner.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/getparm.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/getpid.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/getsid.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/getsql.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gettracefile.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/gettrcname.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/global-prefs.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/hash-function.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/histo_dist.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/histo_hist.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
monitoring_scripts/general/histo_hist_dist.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
